State,State_short,Max_Week_Day,Week,Year,New_Case,New_Death,Share_Vaccination,New_Case_per_100,New_Death_per_100,Index3
Ohio,OH,04/10/2021,40,2021,35632,546,54.8,0.35632,0.00546,28
California,CA,01/11/2021,44,2021,44801,333,75.1,0.44801,0.00333,32
Florida,FL,04/10/2021,40,2021,24505,850,67.6,0.24505,0.0085,28
Georgia,GA,04/10/2021,40,2021,19759,880,55.6,0.19759,0.0088,28
Texas,TX,04/10/2021,40,2021,50016,1742,60.2,0.50016,0.01742,28
Rhode Island,RI,11/10/2021,41,2021,1847,7,76.8,0.01847,0.00007,29
Vermont,VT,11/10/2021,41,2021,1485,11,78.7,0.01485,0.00011,29
Maine,ME,11/10/2021,41,2021,3011,20,75.3,0.03011,0.0002,29
South Dakota,SD,11/10/2021,41,2021,2186,21,60.7,0.02186,0.00021,29
New Hampshire,NH,11/10/2021,41,2021,4165,24,72.6,0.04165,0.00024,29
Hawaii,HI,11/10/2021,41,2021,911,29,77.7,0.00911,0.00029,29
Delaware,DE,11/10/2021,41,2021,2643,35,67.8,0.02643,0.00035,29
Kansas,KS,11/10/2021,41,2021,5580,35,61.2,0.0558,0.00035,29
North Dakota,ND,11/10/2021,41,2021,3562,38,52.3,0.03562,0.00038,29
Wyoming,WY,11/10/2021,41,2021,2899,39,49.8,0.02899,0.00039,29
Alaska,AK,11/10/2021,41,2021,6091,39,58.3,0.06091,0.00039,29
Mississippi,MS,11/10/2021,41,2021,3339,43,51.3,0.03339,0.00043,29
Nebraska,NE,11/10/2021,41,2021,3786,50,60.2,0.03786,0.0005,29
Connecticut,CT,11/10/2021,41,2021,3130,51,77.7,0.0313,0.00051,29
New Mexico,NM,11/10/2021,41,2021,4831,61,73.8,0.04831,0.00061,29
Montana,MT,11/10/2021,41,2021,5858,64,56,0.05858,0.00064,29
Utah,UT,11/10/2021,41,2021,8878,73,60.2,0.08878,0.00073,29
Massachusetts,MA,11/10/2021,41,2021,9667,76,78.7,0.09667,0.00076,29
Arkansas,AR,11/10/2021,41,2021,4168,84,56.7,0.04168,0.00084,29
Iowa,IA,11/10/2021,41,2021,7275,94,58.9,0.07275,0.00094,29
Maryland,MD,11/10/2021,41,2021,6793,111,71.9,0.06793,0.00111,29
Minnesota,MN,11/10/2021,41,2021,19640,124,64.3,0.1964,0.00124,29
